"filename", "language", "Python", "Markdown", "YAML", "Ignore", "C++", "JSON", "pip requirements", "comment", "blank", "total"
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\eval1000\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\eval_centercrop\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\eval_results\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\evaltrain1\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\train1000\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\cupy_module\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\cupy_module\adacof.py", "Python", 348, 0, 0, 0, 0, 0, 0, 17, 86, 451
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\cupy_module\softsplat.py", "Python", 266, 0, 0, 0, 0, 0, 0, 22, 84, 372
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\data\datasets.py", "Python", 85, 0, 0, 0, 0, 0, 0, 4, 31, 120
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\data\testsets.py", "Python", 368, 0, 0, 0, 0, 0, 0, 18, 98, 484
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\data\vfitransforms.py", "Python", 38, 0, 0, 0, 0, 0, 0, 2, 9, 49
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\evaluate.py", "Python", 66, 0, 0, 0, 0, 0, 0, 4, 18, 88
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\__init__.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 13, 58
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\adversarial.py", "Python", 90, 0, 0, 0, 0, 0, 0, 5, 16, 111
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\charbonnier.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\discriminator.py", "Python", 211, 0, 0, 0, 0, 0, 0, 1, 51, 263
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\laplacianpyramid.py", "Python", 55, 0, 0, 0, 0, 0, 0, 3, 13, 71
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\metrics\pytorch_ssim\__init__.py", "Python", 102, 0, 0, 0, 0, 0, 0, 2, 36, 140
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\feature.py", "Python", 105, 0, 0, 0, 0, 0, 0, 2, 27, 134
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\__init__.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 11, 38
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\correlation\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\correlation\correlation.py", "Python", 298, 0, 0, 0, 0, 0, 0, 22, 77, 397
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\gridnet.py", "Python", 185, 0, 0, 0, 0, 0, 0, 37, 68, 290
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\pwcnet.py", "Python", 204, 0, 0, 0, 0, 0, 0, 53, 82, 339
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\resnet_3D.py", "Python", 320, 0, 0, 0, 0, 0, 0, 4, 86, 410
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\stmfnet.py", "Python", 251, 0, 0, 0, 0, 0, 0, 9, 61, 321
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\tempCodeRunnerFile.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\trainers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\trainers\quintuplet.py", "Python", 81, 0, 0, 0, 0, 0, 0, 2, 21, 104
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\utility.py", "Python", 169, 0, 0, 0, 0, 0, 0, 13, 51, 233
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\dataset.py", "Python", 192, 0, 0, 0, 0, 0, 0, 7, 44, 243
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\DatasetFetcher.py", "Python", 63, 0, 0, 0, 0, 0, 0, 17, 20, 100
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_APITLoss_centercrop\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_APITLoss_result\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_FullDataSet_centercrop\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_FullDataSet_result\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_centercrop\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_result\metrics.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\base_networks.py", "Python", 297, 0, 0, 0, 0, 0, 0, 4, 60, 361
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\data.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\dataset.py", "Python", 260, 0, 0, 0, 0, 0, 0, 8, 59, 327
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\dbpns.py", "Python", 44, 0, 0, 0, 0, 0, 0, 5, 9, 58
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\iSeeBetterTest.py", "Python", 167, 0, 0, 0, 0, 0, 0, 10, 30, 207
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\logger.py", "Python", 17, 0, 0, 0, 0, 0, 0, 2, 6, 25
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\metrics\pytorch_ssim\__init__.py", "Python", 102, 0, 0, 0, 0, 0, 0, 2, 36, 140
"c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow.cpp", "C++", 0, 0, 0, 0, 9553, 0, 0, 1228, 382, 11163
