Date : 2024-05-29 20:36:44
Directory : c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new
Total : 183 files,  41413 codes, 4997 comments, 5422 blanks, all 51832 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |         24 |     27,648 |      4,132 |      2,018 |     33,798 |
| Python           |        104 |     12,265 |        858 |      3,240 |     16,363 |
| JSON             |         45 |      1,068 |          0 |          1 |      1,069 |
| Markdown         |          7 |        375 |          0 |        154 |        529 |
| YAML             |          1 |         49 |          7 |          7 |         63 |
| pip requirements |          1 |          6 |          0 |          1 |          7 |
| Ignore           |          1 |          2 |          0 |          1 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        183 |     41,413 |      4,997 |      5,422 |     51,832 |
| . (Files)                                                                                                                                |          1 |        192 |          7 |         44 |        243 |
| STMFNet                                                                                                                                  |         31 |      3,330 |        220 |        944 |      4,494 |
| STMFNet (Files)                                                                                                                          |          3 |        236 |         17 |         69 |        322 |
| STMFNet\Results                                                                                                                          |          5 |          5 |          0 |          0 |          5 |
| STMFNet\Results\eval1000                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| STMFNet\Results\eval_centercrop                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| STMFNet\Results\eval_results                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| STMFNet\Results\evaltrain1                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| STMFNet\Results\train1000                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| STMFNet\cupy_module                                                                                                                      |          3 |        614 |         39 |        171 |        824 |
| STMFNet\data                                                                                                                             |          3 |        491 |         24 |        138 |        653 |
| STMFNet\losses                                                                                                                           |          5 |        409 |          9 |         96 |        514 |
| STMFNet\metrics                                                                                                                          |          1 |        102 |          2 |         36 |        140 |
| STMFNet\metrics\pytorch_ssim                                                                                                             |          1 |        102 |          2 |         36 |        140 |
| STMFNet\models                                                                                                                           |          9 |      1,392 |        127 |        412 |      1,931 |
| STMFNet\models (Files)                                                                                                                   |          3 |        357 |         11 |         88 |        456 |
| STMFNet\models\misc                                                                                                                      |          6 |      1,035 |        116 |        324 |      1,475 |
| STMFNet\models\misc (Files)                                                                                                              |          4 |        736 |         94 |        247 |      1,077 |
| STMFNet\models\misc\correlation                                                                                                          |          2 |        299 |         22 |         77 |        398 |
| STMFNet\trainers                                                                                                                         |          2 |         81 |          2 |         22 |        105 |
| iSeeBetter                                                                                                                               |         33 |     15,227 |      2,153 |      1,341 |     18,721 |
| iSeeBetter (Files)                                                                                                                       |         12 |     10,774 |      1,308 |        663 |     12,745 |
| iSeeBetter\Results                                                                                                                       |          6 |          6 |          0 |          0 |          6 |
| iSeeBetter\Results\netG_epoch_4_1_APITLoss_centercrop                                                                                    |          1 |          1 |          0 |          0 |          1 |
| iSeeBetter\Results\netG_epoch_4_1_APITLoss_result                                                                                        |          1 |          1 |          0 |          0 |          1 |
| iSeeBetter\Results\netG_epoch_4_1_FullDataSet_centercrop                                                                                 |          1 |          1 |          0 |          0 |          1 |
| iSeeBetter\Results\netG_epoch_4_1_FullDataSet_result                                                                                     |          1 |          1 |          0 |          0 |          1 |
| iSeeBetter\Results\netG_epoch_4_1_centercrop                                                                                             |          1 |          1 |          0 |          0 |          1 |
| iSeeBetter\Results\netG_epoch_4_1_result                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| iSeeBetter\metrics                                                                                                                       |          1 |        102 |          2 |         36 |        140 |
| iSeeBetter\metrics\pytorch_ssim                                                                                                          |          1 |        102 |          2 |         36 |        140 |
| iSeeBetter\pyflow                                                                                                                        |         14 |      4,345 |        843 |        642 |      5,830 |
| iSeeBetter\pyflow (Files)                                                                                                                |          3 |         74 |          5 |         15 |         94 |
| iSeeBetter\pyflow\src                                                                                                                    |         11 |      4,271 |        838 |        627 |      5,736 |
| new                                                                                                                                      |        118 |     22,664 |      2,617 |      3,093 |     28,374 |
| new (Files)                                                                                                                              |         11 |     11,680 |      1,299 |        610 |     13,589 |
| new\Results                                                                                                                              |         32 |         32 |          0 |          0 |         32 |
| new\Results\FIVSRNet_result                                                                                                              |          1 |          1 |          0 |          0 |          1 |
